epoch,Train_loss,Test_loss,Train_f1_score,Test_f1_score
1,0.02049419656395912,0.0071292719803750515,0.885102107813051,0.8670755979745456
2,0.016271114349365234,0.011277464218437672,0.9157203052986994,0.8706376324630039
3,0.011376778595149517,0.013281214982271194,0.9240749957755713,0.8769631187930019
4,0.010910116136074066,0.008165213279426098,0.929768925991381,0.8782872852455704
5,0.013275036588311195,0.004273214843124151,0.9345798179661771,0.886811232737256
6,0.013443971052765846,0.0069534676149487495,0.9391283715179817,0.8887768647299157
7,0.008473425172269344,0.006940117105841637,0.9416416198050436,0.8871395040635984
8,0.006402744445949793,0.007346807979047298,0.9445159976231964,0.8873854776967905
9,0.008181924000382423,0.022208191454410553,0.9458943921879842,0.8831110349077466
10,0.0065752677619457245,0.017499469220638275,0.9469970199784514,0.8886528569743491
11,0.00930023193359375,0.007576809264719486,0.9487142374293766,0.8886712580654418
12,0.005717676132917404,0.009082093834877014,0.9497495275045332,0.8877566996430093
13,0.006824147887527943,0.02091800421476364,0.950638602057098,0.8863917451625947
14,0.005877726245671511,0.007177809253334999,0.951516996547475,0.8913188966766842
15,0.0064986953511834145,0.005232803989201784,0.952662953079622,0.8940036165811698
16,0.0038271211087703705,0.007533055264502764,0.9530413911832251,0.8893832927696813
17,0.008315443061292171,0.00885164923965931,0.9537251064137332,0.891885244022968
18,0.004611365031450987,0.003789839567616582,0.9545367241273406,0.8920345226286638
19,0.005034489091485739,0.005485875532031059,0.955365549500645,0.8938273269226874
20,0.005610467400401831,0.009502964094281197,0.956015347540757,0.8910556161470173
21,0.00532290805131197,0.006431682035326958,0.9563957546008749,0.8929605454118382
22,0.0061872866936028,0.00836212933063507,0.9566847282760967,0.8892769013018011
23,0.004152718465775251,0.006362377665936947,0.9566987231925959,0.8931521760237412
24,0.003980123437941074,0.009535789489746094,0.9573307449570082,0.8912500331951987
25,0.006422534119337797,0.006567810662090778,0.9574802994861303,0.8926978867569775
26,0.005426573101431131,0.01260993629693985,0.9570176437086926,0.8887704849494489
27,0.004712334368377924,0.012091163545846939,0.9574215783027433,0.8926312577686233
28,0.0051919338293373585,0.013871938921511173,0.9578356136995112,0.8945262243295005
29,0.004854754079133272,0.05108099430799484,0.9578920680277814,0.8813339420241171
30,0.005246098153293133,0.010662006214261055,0.9583416981596959,0.895977090317173
31,0.005161410663276911,0.02150088921189308,0.9580113145092551,0.8907178728947251
32,0.004267116542905569,0.0056789955124258995,0.9590797972869877,0.8940971418085059
33,0.003422163426876068,0.007470715790987015,0.9590822486712794,0.892966933552404
34,0.004757872316986322,0.006954305339604616,0.9600577148705964,0.8917312210050267
35,0.0031090774573385715,0.00773785263299942,0.9598237534187622,0.895040669612803
36,0.0031267458107322454,0.07337775081396103,0.9605665426863668,0.8894011215923464
37,0.0045355926267802715,0.032884977757930756,0.960874484612326,0.8892961450486986
38,0.0046179345808923244,0.014998558908700943,0.9608824436431868,0.8949517906176911
39,0.002997841453179717,0.005151820834726095,0.9613526462116122,0.8960371452813664
40,0.00384097034111619,0.007415237370878458,0.961369852075883,0.8931903392332169
41,0.004890663083642721,0.004492573905736208,0.9611764459911816,0.8974683587562726
